item_id,item_value
101,45
102,12
103,67
104,46
105,16
106,20
107,93
108,1
109,96
110,20
111,5
112,91
113,18
114,90
115,27
116,28
117,60
118,57
119,68
120,9
121,57
122,59
123,47
124,91
125,24
126,90
127,33
128,28
129,17
130,48
131,300
132,350
133,400
134,450
135,47
136,20
137,8
138,70
139,5
140,5
141,92
142,14
143,4
144,35
145,87
146,66
147,89
148,60
149,73
150,82
151,90
152,25
153,37
154,11
155,95
156,78
157,77
158,39
159,93
160,92
161,56
162,71
163,21
164,51
165,76
166,75
167,66
168,17
169,2
170,97
