"item_id","problem_id","weight","value","in_solution"
"1","1","750","500","1"
"2","1","406","350","0"
"3","1","564","505","0"
"4","1","595","505","1"
"5","1","803","640","0"
"6","1","489","435","0"
"7","1","641","465","0"
"8","1","177","50","0"
"9","1","330","220","0"
"10","1","252","170","0"
"11","2","205","300","0"
"12","2","252","350","0"
"13","2","352","400","1"
"14","2","447","450","0"
"15","2","114","47","0"
"16","2","50","20","0"
"17","2","28","8","0"
"18","2","251","70","0"
"19","2","19","5","1"
"20","2","20","5","0"
"21","3","1290","150","0"
"22","3","1440","140","0"
"23","3","770","30","0"
"24","3","770","30","0"
"25","3","660","100","0"
"26","3","600","90","0"
"27","3","1840","280","1"
"28","3","1840","280","0"
"29","3","2290","310","1"
"30","3","1840","250","0"
"31","3","2190","240","0"
"32","3","720","10","0"
"33","4","150","111","1"
"34","4","2460","216","0"
"35","4","2100","318","0"
"36","4","138","96","0"
"37","4","660","135","1"
"38","4","1590","213","0"
"39","4","321","69","1"
"40","4","540","132","1"
"41","4","1305","255","0"
"42","4","1080","186","1"
"43","5","150","100","0"
"44","5","200","150","0"
"45","5","300","200","0"
"46","5","150","250","1"
"47","5","250","300","0"
"48","5","650","450","0"
"49","5","300","400","0"
"50","5","450","350","0"
"51","5","100","300","1"
"52","5","200","250","0"
"53","5","350","400","0"
"54","5","350","450","0"
"55","6","599","107","1"
"56","6","196","35","0"
"57","6","670","120","1"
"58","6","1204","206","0"
"59","6","502","88","0"
"60","6","202","34","1"
"61","6","145","28","1"
"62","6","600","110","1"
"63","6","453","88","1"
"64","6","601","101","0"
"65","6","404","74","1"
"66","6","299","53","0"
"67","7","192","201","1"
"68","7","80","84","0"
"69","7","106","113","1"
"70","7","288","303","0"
"71","7","212","227","1"
"72","7","241","251","0"
"73","7","121","129","1"
"74","7","140","147","0"
"75","7","82","86","0"
"76","7","120","127","0"
"77","7","137","144","0"
"78","7","162","167","0"
"79","8","21","31","0"
"80","8","97","141","1"
"81","8","32","46","0"
"82","8","21","30","0"
"83","8","52","74","1"
"84","8","75","105","0"
"85","8","86","119","0"
"86","8","116","160","1"
"87","8","43","59","0"
"88","8","54","71","0"
"89","9","3","10","1"
"90","9","2","6","0"
"91","9","4","11","1"
"92","9","2","4","0"
"93","9","3","5","0"
"94","10","10","26","1"
"95","10","9","19","1"
"96","10","35","68","1"
"97","10","39","67","1"
"98","10","50","77","1"
"99","10","39","57","1"
"100","10","67","81","0"
"101","11","88","45","1"
"102","11","47","12","1"
"103","11","53","67","1"
"104","11","22","46","1"
"105","11","26","16","1"
"106","11","23","20","1"
"107","11","59","93","1"
"108","11","17","1","1"
"109","11","65","96","1"
"110","11","47","20","1"
"111","12","6","5","1"
"112","12","13","91","1"
"113","12","60","18","1"
"114","12","86","90","1"
"115","12","58","27","1"
"116","12","82","28","1"
"117","12","60","60","1"
"118","12","96","57","1"
"119","12","24","68","1"
"120","12","79","9","1"
"121","13","16","57","1"
"122","13","56","59","1"
"123","13","42","47","1"
"124","13","85","91","1"
"125","13","51","24","1"
"126","13","93","90","1"
"127","13","77","33","1"
"128","13","41","28","1"
"129","13","24","17","1"
"130","13","73","48","1"
"131","14","205","300","1"
"132","14","252","350","1"
"133","14","352","400","1"
"134","14","447","450","1"
"135","14","114","47","1"
"136","14","50","20","1"
"137","14","28","8","1"
"138","14","251","70","1"
"139","14","19","5","1"
"140","14","20","5","1"
"141","15","73","92","1"
"142","15","38","14","1"
"143","15","88","4","1"
"144","15","83","35","1"
"145","15","64","87","1"
"146","15","36","66","1"
"147","15","25","89","1"
"148","15","62","60","1"
"149","15","14","73","1"
"150","15","89","82","1"
"151","16","61","90","1"
"152","16","67","25","1"
"153","16","91","37","1"
"154","16","74","11","1"
"155","16","8","95","1"
"156","16","68","78","1"
"157","16","89","77","1"
"158","16","56","39","1"
"159","16","10","93","1"
"160","16","35","92","1"
"161","17","25","56","1"
"162","17","61","71","1"
"163","17","1","21","1"
"164","17","18","51","1"
"165","17","63","76","1"
"166","17","7","75","1"
"167","17","99","66","1"
"168","17","22","17","1"
"169","17","39","2","1"
"170","17","90","97","1"
